LOCAL,DATA,VALOR
125,20231201 00:00:00,432
125,20240101 00:00:00,830
125,20240201 00:00:00,232
125,20240301 00:00:00,542
125,20240401 00:00:00,733
125,20240501 00:00:00,698
125,20240701 00:00:00,343
124,20240801 00:00:00,289
124,20240901 00:00:00,465
124,20241001 00:00:00,491
124,20241101 00:00:00,528
124,20241201 00:00:00,0
124,20230801 00:00:00,632
124,20231001 00:00:00,555
124,20231101 00:00:00,498
124,20231201 00:00:00,534
124,20240101 00:00:00,814
124,20240301 00:00:00,656
124,20240501 00:00:00,641
124,20240601 00:00:00,436
124,20240701 00:00:00,468
124,20240801 00:00:00,682
124,20241001 00:00:00,639
124,20241101 00:00:00,683
124,20241201 00:00:00,401
124,20230501 00:00:00,450
124,20230601 00:00:00,170
123,20230701 00:00:00,617
123,20230901 00:00:00,365.13
123,20231001 00:00:00,515
123,20231101 00:00:00,433
123,20231201 00:00:00,144
123,20240101 00:00:00,208
123,20240201 00:00:00,0
123,20240301 00:00:00,542
123,20240401 00:00:00,733
123,20240501 00:00:00,466
123,20240701 00:00:00,342
123,20240801 00:00:00,867
123,20240901 00:00:00,697
123,20241001 00:00:00,246
123,20241101 00:00:00,793
123,20241201 00:00:00,0
123,20230501 00:00:00,324
123,20230601 00:00:00,170
123,20230701 00:00:00,455
123,20230901 00:00:00,239.52
122,20231001 00:00:00,257
122,20231101 00:00:00,646
122,20231201 00:00:00,288
122,20240101 00:00:00,416
122,20240201 00:00:00,690
122,20240301 00:00:00,180
122,20240401 00:00:00,490
121,20240501 00:00:00,466
121,20240601 00:00:00,302
121,20240701 00:00:00,342
121,20240801 00:00:00,578
121,20240901 00:00:00,465
121,20241001 00:00:00,491
121,20241101 00:00:00,264
120,20241201 00:00:00,385
120,20230501 00:00:00,161
120,20230601 00:00:00,240
120,20230701 00:00:00,470
120,20230901 00:00:00,111
120,20231001 00:00:00,257
120,20231101 00:00:00,434
120,20231201 00:00:00,144
120,20240101 00:00:00,208
120,20240201 00:00:00,230
120,20240301 00:00:00,180
120,20240401 00:00:00,0
120,20240501 00:00:00,466
119,20240601 00:00:00,1208
119,20240701 00:00:00,170
119,20240801 00:00:00,867
119,20240901 00:00:00,232
119,20241001 00:00:00,491
119,20241101 00:00:00,793
118,20241201 00:00:00,769
118,20230301 00:00:00,280
118,20230401 00:00:00,86.66
118,20230501 00:00:00,601
118,20230601 00:00:00,250
118,20230701 00:00:00,250
117,20230801 00:00:00,430
117,20230901 00:00:00,387.65
117,20231001 00:00:00,436
117,20231101 00:00:00,420
117,20231201 00:00:00,352
117,20240101 00:00:00,232
117,20240201 00:00:00,420
116,20240301 00:00:00,388
116,20240401 00:00:00,441
116,20240501 00:00:00,280
116,20240601 00:00:00,80
116,20240701 00:00:00,356
116,20240801 00:00:00,472
116,20240901 00:00:00,174
115,20241001 00:00:00,377
115,20241201 00:00:00,528
115,20250101 00:00:00,140
115,20230301 00:00:00,120
115,20230401 00:00:00,86.67
115,20230501 00:00:00,480
114,20230601 00:00:00,190
114,20230701 00:00:00,249
114,20230801 00:00:00,246
113,20230901 00:00:00,219.78
113,20231001 00:00:00,600
113,20231101 00:00:00,326
113,20231201 00:00:00,466
113,20240101 00:00:00,254
113,20240201 00:00:00,331
110,20240301 00:00:00,286
109,20240401 00:00:00,505
108,20240501 00:00:00,502
107,20240601 00:00:00,354
106,20240801 00:00:00,551
104,20240901 00:00:00,609
103,20241001 00:00:00,346
103,20241101 00:00:00,185
103,20241201 00:00:00,0
103,20250101 00:00:00,425
103,20230301 00:00:00,280
103,20230501 00:00:00,601
102,20230601 00:00:00,250
100,20230701 00:00:00,125
100,20230801 00:00:00,287
100,20230901 00:00:00,348.33
100,20231001 00:00:00,436
100,20231101 00:00:00,140
100,20231201 00:00:00,352
100,20240101 00:00:00,232
100,20240201 00:00:00,420
100,20240301 00:00:00,388
100,20240401 00:00:00,441
100,20240501 00:00:00,280
100,20240601 00:00:00,80
100,20240701 00:00:00,356
100,20240801 00:00:00,235
100,20240901 00:00:00,347
99,20241001 00:00:00,378
99,20241201 00:00:00,1056
99,20250101 00:00:00,279
99,20230501 00:00:00,450
99,20230601 00:00:00,168
99,20230701 00:00:00,765
99,20230901 00:00:00,485.87
99,20231001 00:00:00,257
99,20231101 00:00:00,645
99,20231201 00:00:00,0
99,20240101 00:00:00,208
99,20240201 00:00:00,465
99,20240301 00:00:00,180
99,20240401 00:00:00,733
99,20240501 00:00:00,466
99,20240701 00:00:00,343
99,20240801 00:00:00,578
99,20240901 00:00:00,465
99,20241001 00:00:00,491
99,20241101 00:00:00,528
99,20241201 00:00:00,0
98,20230501 00:00:00,161
98,20230601 00:00:00,260
98,20230701 00:00:00,148
98,20230901 00:00:00,334
98,20231001 00:00:00,257
98,20231101 00:00:00,434
98,20231201 00:00:00,144
98,20240101 00:00:00,912
98,20240201 00:00:00,230
98,20240301 00:00:00,360
98,20240401 00:00:00,490
98,20240501 00:00:00,466
98,20240601 00:00:00,906
98,20240701 00:00:00,170
98,20240901 00:00:00,232
98,20241001 00:00:00,491
98,20241101 00:00:00,793
98,20241201 00:00:00,385
98,20230301 00:00:00,280
98,20230501 00:00:00,479
98,20230601 00:00:00,248
97,20230701 00:00:00,249
97,20230801 00:00:00,346
97,20230901 00:00:00,329.67
97,20231001 00:00:00,438
97,20231101 00:00:00,650
97,20231201 00:00:00,312
97,20240101 00:00:00,916
97,20240201 00:00:00,331
97,20240301 00:00:00,144
97,20240401 00:00:00,337
97,20240501 00:00:00,251
97,20240601 00:00:00,354
97,20240801 00:00:00,276
97,20240901 00:00:00,203
97,20241001 00:00:00,172
97,20241101 00:00:00,185
97,20241201 00:00:00,172
97,20250101 00:00:00,425
97,20230501 00:00:00,161
97,20230601 00:00:00,261
97,20230701 00:00:00,765
97,20230901 00:00:00,476.13
96,20231001 00:00:00,257
96,20231101 00:00:00,646
96,20231201 00:00:00,288
96,20240101 00:00:00,416
96,20240201 00:00:00,230
96,20240301 00:00:00,180
96,20240401 00:00:00,244
96,20240501 00:00:00,466
96,20240601 00:00:00,604
96,20240701 00:00:00,170
96,20240801 00:00:00,578
96,20240901 00:00:00,233
96,20241001 00:00:00,245
96,20241101 00:00:00,264
96,20241201 00:00:00,577
96,20230901 00:00:00,254.13
95,20231001 00:00:00,314
95,20231101 00:00:00,435
95,20231201 00:00:00,432
95,20240101 00:00:00,623
95,20240201 00:00:00,690
95,20240301 00:00:00,180
94,20240401 00:00:00,489
94,20240501 00:00:00,932
94,20240601 00:00:00,300
94,20240701 00:00:00,342
94,20240801 00:00:00,578
94,20240901 00:00:00,697
93,20241001 00:00:00,246
93,20241101 00:00:00,528
93,20241201 00:00:00,0
93,20230701 00:00:00,249
93,20230801 00:00:00,448
93,20230901 00:00:00,329.67
93,20231001 00:00:00,438
93,20231101 00:00:00,0
93,20231201 00:00:00,466
93,20240101 00:00:00,510
93,20240201 00:00:00,332
93,20240301 00:00:00,572
93,20240401 00:00:00,168
93,20240501 00:00:00,501
93,20240601 00:00:00,354
92,20240801 00:00:00,552
92,20240901 00:00:00,406
92,20241001 00:00:00,346
92,20241101 00:00:00,371
92,20241201 00:00:00,345
92,20250101 00:00:00,637
92,20230801 00:00:00,316
92,20231001 00:00:00,552
92,20231101 00:00:00,498
92,20231201 00:00:00,268
92,20240101 00:00:00,814
92,20240301 00:00:00,656
92,20240501 00:00:00,642
92,20240601 00:00:00,218
92,20240701 00:00:00,468
92,20240801 00:00:00,455
92,20241001 00:00:00,639
92,20241101 00:00:00,228
92,20241201 00:00:00,1203
91,20230701 00:00:00,124
91,20230801 00:00:00,734
91,20230901 00:00:00,329.67
91,20231001 00:00:00,585
91,20231101 00:00:00,326
91,20231201 00:00:00,466
91,20240101 00:00:00,510
91,20240201 00:00:00,166
91,20240301 00:00:00,429
91,20240401 00:00:00,337
91,20240601 00:00:00,177
91,20240801 00:00:00,387
91,20240901 00:00:00,609
91,20241001 00:00:00,346
91,20241101 00:00:00,370
91,20241201 00:00:00,345
90,20250101 00:00:00,637
90,20230801 00:00:00,316
90,20230901 00:00:00,329.67
90,20231001 00:00:00,580
90,20231101 00:00:00,280
90,20231201 00:00:00,176
90,20240101 00:00:00,464
90,20240201 00:00:00,209
90,20240301 00:00:00,387
90,20240401 00:00:00,661
90,20240501 00:00:00,563
90,20240601 00:00:00,80
90,20240701 00:00:00,355
90,20240801 00:00:00,472
90,20240901 00:00:00,521
90,20241001 00:00:00,377
89,20241201 00:00:00,797
89,20250101 00:00:00,279
89,20230301 00:00:00,120
89,20230401 00:00:00,86.67
89,20230501 00:00:00,479
89,20230601 00:00:00,248
89,20230701 00:00:00,124
89,20230801 00:00:00,489
89,20230901 00:00:00,219.78
